"participant","date","expName","response.keys","response.rt","count","sentence","sent_ident","left_variant","right_variant","left_ident","right_ident"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",8.3817,1,"The medication _____ so that the body can easily remove them.","SP6","breaks down harmful molecules","breaks harmful molecules down","cont","discont"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",10.0523,2,"Every area of the company experienced an increase in productivity _____ the R & D department, which is yet to implement the new policy.","LPOE","except for","except","addprep","noprep"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",4.8895,3,"Indeed, _____ makes no such assurances regarding a returns policy.","SN1","the Ikea website","Ikea's website","mod","gen"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",10.8498,4,"His interpretation showed little understanding of the law _____ regulates contracts of this kind.","LR3","that","which","that","which"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",5.591,5,"The man accidentally _____ , spilling water over himself.","SP5","knocked the glass over","knocked over the glass","discont","cont"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",8.9946,6,"It could be argued that this division within the ranks gave _____ and therefore contributed to the overall change in strategy.","SD6","the initiative to Wilson","Wilson the initiative","prep","ditran"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",4.9927,7,"The present paper argues that psychological analysis can _____ explain the recent upturn in hate speech across the USA.","LIH1","help","help to","help","helpto"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",8.1384,8,"As several papers have noted, this methodology is _____ for studies taking place in certain territories.","LNU2","not suitable","unsuitable","not","un"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",6.5729,9,"There was a clear difference in the test results before and after the participant _____ .","SP4","took the glasses off","took off the glasses","discont","cont"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",5.0434,10,"Critics have long questioned the _____ .","SG1","company's legal status","legal status of the company","apost","of"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",6.2196,11,"In 2013, new guidelines were released regarding the recommended hours of physical activity _____ school.","LPOO","outside","outside of","noprep","addprep"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",4.9247,12,"The next step is to spray _____ and observe their development over the following 24 hours.","SS2","the specimens with water","water on the specimens","with","on"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",7.6096,13,"The local population did everything they could to _____ protect themselves from the foreign invaders, but it was not enough.","LIT1","try to","try and","tryto","tryand"
